Absolute,absolute,"Independent of arbitrary units of measurement, standards, or properties; not comparative or relative",,,https://en.wiktionary.org/wiki/absolute,,,,,,,,,,,,,,,,,,,
Absorptance,absorptance,Ratio of absorbed to incident radiant flux,,0.14 ?,https://www.wikidata.org/wiki/Q16635541,"Solar, Typical",,,,,,,,,,,,,,,,,,
Accelerometer,accelerometer,Device that measures proper acceleration,"G-Sensor, Gravity Sensor, Acceleration Sensor",,https://www.wikidata.org/wiki/Q192940,,,,,,,,,,,,,,,,,,,
Accelerometer Sensitivity,accelerometerSensitivity,Sensitivity of an accelerometer defines at what rate the sensor converts mechanical energy into an electric signal (the output); and this will define the acceleration measurement range of the accelerometer,,200 mV/g,https://blog.endaq.com/accelerometer-specifications-decoding-a-datasheet,,,,,,,,,,,,,,,,,,,
Accuracy,accuracy,Closeness of the mean of a large set of measurement to the accepted reference value,"Measurement Accuracy, Measurement Trueness, Sensing Accuracy",10 arcsec,https://www.wikidata.org/wiki/Q1298969,"Pitch, Yaw, Roll, Boresight (Pointing), Position, Velocity, Timing, Temperature, Frequency (Timing)",,,,,,,,,,,,,,,,,,
Astronomical Observatory,astronomicalObservatory,Location used for observing celestial events,,,https://www.wikidata.org/wiki/Q1254933,,,,,,,,,,,,,,,,,,,
Attenuation,attenuation,Gradual loss of flux intensity through a medium,Extinction,0.60 dB/ft,https://www.wikidata.org/wiki/Q2357982,,,,,,,,,,,,,,,,,,,
Attenuation Coefficient,attenuationCoefficient,"How easily a volume of material can be penetrated by a beam of light, sound, particles, or other energy or matter","Linear Attenuation Coefficient, Narrow-Beam Attenuation Coefficient",0.0532 cm-1,https://en.wikipedia.org/wiki/Attenuation_coefficient,,,,,,,,,,,,,,,,,,,
Attitude Control,attitudeControl,Spacecraft component controlling orientation,"Attitude Control System (ACS), Attitude Determination and Control System (ADCS), Attitude Ground System (AGS), Attitude and Orbit Control System (AOCS), Guidance, Navigation and Control (GNC)",,https://www.wikidata.org/wiki/Q83001,,,,,,,,,,,,,,,,,,,
Observation Audio,audio,"Relating to sound waves that have been electronically recorded, transmitted, or reproduced","Electronic Sound, Electronically Produced Sound",https://network.satnogs.org/observations/2085379/#tab-audio,https://www.wikidata.org/wiki/Q26987250,,,,,,,,,,,,,,,,,,,
Average,average,"General term for the several definitions of mean value, the sum divided by the count","Mean, Average Value, Mean Value",15%,https://www.wikidata.org/wiki/Q2796622,,,,,,,,,,,,,,,,,,,
Axial,axial,"Relating to, resembling, or situated on an axis",,,https://en.wiktionary.org/wiki/axial,,,,,,,,,,,,,,,,,,,
Axial Tilt,axialTilt,Angle between the rotational axis and orbital axis of a body,Obliquity,24°,https://www.wikidata.org/wiki/Q179745,,,,,,,,,,,,,,,,,,,
Baseband Frequency,basebandFrequency,Signal that has a very narrow frequency range near zero,,0 Hz,https://www.wikidata.org/wiki/Q575784,,,,,,,,,,,,,,,,,,,
Battery,battery,"Assembly of one or more electrochemical cells, used to electrical devices with stored electrical energy",Electric Battery,Primary,https://www.wikidata.org/wiki/Q267298,Type,,,,,,,,,,,,,,,,,,
Battery Capacity,batteryCapacity,The amount of electric charge it can deliver at the rated voltage,,3900 mAh,https://en.wikipedia.org/wiki/Electric_battery,,,,,,,,,,,,,,,,,,,
Battery Charger,batteryCharger,Device that charges a rechargeable battery by forcing current through it,,,https://www.wikidata.org/wiki/Q352917,,,,,,,,,,,,,,,,,,,
Battery Life,batteryLife,Storage capacity of a battery or energy storage system,"Energy Storage Capacity, Battery Storage Capacity, Storage Capacity",144 dB CL,https://www.wikidata.org/wiki/Property:P4140,,,,,,,,,,,,,,,,,,,
Battery Pack,batteryPack,Set of any number of (preferably) identical batteries or individual battery cells,,,https://en.wikipedia.org/wiki/Battery_pack,,,,,,,,,,,,,,,,,,,
Baud Rate,baudRate,Rate of modulation of a digital signal,Symbol Rate,9600 baud,https://www.wikidata.org/wiki/Q428083,,,,,,,,,,,,,,,,,,,
B Constant,bConstant,The B constant expresses a degree of thermistor sensitivity (change rate of its resistance) to temperature change,"B Value, B Parameter",3500 K,https://www.shibauraelectronics.com/products/technical/physical_02.html,,,,,,,,,,,,,,,,,,,
Beginning-of-Life,beginningOfLife,"In the context of manufacturing and product life cycles, is the first stages of a product's existence","BOL, Beginning of Operational Life",,https://whatis.techtarget.com/definition/beginning-of-life-BOL,,,,,,,,,,,,,,,,,,,
Bend Radius,bendRadius,"The minimum radius one can bend a pipe, tube, sheet, cable or hose without kinking it, damaging it, or shortening its life",,4.09 in,https://en.wikipedia.org/wiki/Bend_radius,Minimum,,,,,,,,,,,,,,,,,,
Bias Stability,biasStability,How much deviation or drift the sensor has from its mean value of the output rate,Bias Instability,0.4 °/?rms,https://www.kvhmobileworld.kvh.com/bias-stability-key-parameter-inertial-sensor-performance/,,,,,,,,,,,,,,,,,,,
Bond-Line Thickness,bondLineThickness,"Used to describe where a material contacts components, usually when it is sandwiched in between them. Typically, the most important quality of a bond line is its thickness",,100 microns,https://www.lord.com/bond-line,Minimum,,,,,,,,,,,,,,,,,,
Brake-Specific Fuel Consumption,brakeSpecificFuelConsumption,Fuel efficiency within a shaft reciprocating engine,BSFC,0.55 lbm/bhp-hr,https://www.wikidata.org/wiki/Q1814856,,,,,,,,,,,,,,,,,,,
Brand,brand,"Name used by an organization or business person for labeling a product, product group, or similar",,Clyde Space,https://schema.org/Brand,,,,,,,,,,,,,,,,,,,
Brand,brand,"Name used by an organization or business person for labeling a product, product group, or similar",,Clyde Space,https://schema.org/Brand,,,,,,,,,,,,,,,,,,,
Breakdown Voltage,breakdownVoltage,The minimum voltage that causes a portion of an insulator to become electrically conductive,Dielectric Breakdown Strength,15 kV/mm,https://en.wikipedia.org/wiki/Breakdown_voltage,,,,,,,,,,,,,,,,,,,
Bridge Offset,bridgeOffset,"The difference in volts of the output nodes, Vo+ and Vo-",,±0.5 mV/V,http://c1233384.r84.cf3.rackcdn.com/UK_HMP_HMC1022_2AN.pdf,,,,,,,,,,,,,,,,,,,
Bursting Strength,burstingStrength,The pressure often expressed in pounds per square inch required to rupture such a material or object under rigidly controlled conditions,Burst Strength,5.625 kg/cm,https://www.merriam-webster.com/dictionary/bursting%20strength,,,,,,,,,,,,,,,,,,,
Burst Pressure,burstPressure,The maximum pressure that may be applied to the positive pressure port without physically damaging the internal sensing component,,1300 psig,https://www.setra.com/blog/what-is-the-difference-between-proof-and-burst-pressure,,,,,,,,,,,,,,,,,,,
Cable Harness,cableHarness,Bundle of electrical cables or wires,"Wire Harness, Wiring Harness, Cable Assembly, Wiring Assembly, Wiring Loom",,https://www.wikidata.org/wiki/Q354262,,,,,,,,,,,,,,,,,,,
Cable Jacket,cableJacket,The outermost layer of a cable whose primary function is to protect the insulation and conductor core from external physical forces and chemical deterioration,,,https://www.anixter.com/en_us/resources/literature/wire-wisdom/cable-jackets-types-101.html,"Color (e.g., Black), Material (e.g., Polyvinyl Chloride)",,,,,,,,,,,,,,,,,,
Cable Shielding,cableShielding,Conductive layer used to shield cable conductors,Shield Construction,Foil,https://www.wikidata.org/wiki/Q3506009,Material,,,,,,,,,,,,,,,,,,
Cable Size,cableSize,Size of cable; such as in American Wire Gauge (AWG),,12 AWG,,,,,,,,,,,,,,,,,,,,
Call Sign,callSign,"A callsign, as used in broadcasting and radio communications to identify people, radio and TV stations, or vehicles",,BOCTOK-1,https://schema.org/callSign,,,,,,,,,,,,,,,,,,,
Camera,camera,Optical device for recording or transmitting photographic images or videos,Photographic Camera,Terrain Mapping Camera (TMC),https://www.wikidata.org/wiki/Q15328,,,,,,,,,,,,,,,,,,,
Capacitance,capacitance,Ability of a body to store an electrical charge per unit change in potential (general concept),"Electrostatic Capacity, Electric Capacitance",1 mF,https://www.wikidata.org/wiki/Q164399,,,,,,,,,,,,,,,,,,,
Capacitors,capacitor,Passive two-terminal electronic component that stores electrical energy in an electric field,"Condenser, Condensator, Cap, electronics capacitors",,https://www.wikidata.org/wiki/Q5322,,,,,,,,,,,,,,,,,,,
Capacity Loss,capacityLoss,Loss in the capacity of a rechargeable battery to deliver energy,Capacity Fading,13%,https://www.wikidata.org/wiki/Q16851742,,,,,,,,,,,,,,,,,,,
Capillary Pressure,capillaryPressure,"The pressure between two immiscible fluids in a thin tube, resulting from the interactions of forces between the fluids and solid walls of the tube",,4 x 10-4 Pa,https://en.wikipedia.org/wiki/Capillary_pressure,,,,,,,,,,,,,,,,,,,
Capillary Pumped Loops,capillaryPumpedLoop,"Two-phase thermal control devices which, like heat pipes, use surface tension forces to circulate a cooling fluid from an evaporator to a condenser",CPL,,http://hdl.handle.net/1903/1436,,,,,,,,,,,,,,,,,,,
Catadioptric System,catadioptricSystem,Optical system where refraction and reflection are combined,Catadioptric Optical System,,https://www.wikidata.org/wiki/Q1142960,,,,,,,,,,,,,,,,,,,
Catadioptric Telescope,catadioptricTelescope,Optical telescopes that combine specifically shaped mirrors and lenses to form an image,,,https://en.wikipedia.org/wiki/Catadioptric_system,,,,,,,,,,,,,,,,,,,
Catalyst,catalyst,"Substance that increases chemical reaction speed, and which is conserved after the reaction",,Platinum,https://www.wikidata.org/wiki/Q12385831,Material,,,,,,,,,,,,,,,,,,
Cathode,cathode,Electrode from which a conventional current leaves a polarized electrical device,,PTFE-bonded Pt/C,https://www.wikidata.org/wiki/Q175233,Material,,,,,,,,,,,,,,,,,,
Charge,charge,Physical property that quantifies an object's interaction with electric fields,"Electric Charge, Electrical Charge",6000 C,https://www.wikidata.org/wiki/Q1111,,,,,,,,,,,,,,,,,,,
Charge Acceptance,chargeAcceptance,"The ability of a battery to accept and store energy under given external parameters like time, temperature, state-of-charge, charging voltage or battery history",,90%,https://doi.org/10.1016/B978-0-444-63700-0.00019-2,,,,,,,,,,,,,,,,,,,
Charge Carrier,chargeCarrier,"Particle free to move, carrying an electric charge, especially the particles that carry electric charges in electrical conductors",,H+,https://www.wikidata.org/wiki/Q865807,,,,,,,,,,,,,,,,,,,
Charge Current,chargeCurrent,The charge current the battery can accept,,1.6A,http://usersupport.homerenergy.com/customer/en/portal/articles/2187041-battery-maximum-charge-rate-and-maximum-charge-current,Maximum,,,,,,,,,,,,,,,,,,
Charge Cycle,chargeCycle,The process of charging a rechargeable battery and discharging it as required into a load,,,https://en.wikipedia.org/wiki/Charge_cycle,,,,,,,,,,,,,,,,,,,
Charge Power,chargePower,The amount of power that can be absorbed,,435W,https://www.homerenergy.com/products/pro/docs/latest/how_homer_calculates_the_maximum_battery_charge_power.html,Maximum,,,,,,,,,,,,,,,,,,
Charge Voltage,chargeVoltage,The voltage that the battery is charged to when charged to full capacity,"Closed Circuit Voltage (CCV), Operating Voltage",33.3V,http://web.mit.edu/evt/summary_battery_specifications.pdf,"Range, Maximum, Minimum",,,,,,,,,,,,,,,,,,
Citation,citation,"A citation or reference to another creative work, such as another publication, web page, scholarly article, etc",,https://xkcd.com/285/,https://schema.org/citation,,,,,,,,,,,,,,,,,,,
Coatings,coating,"A covering that is applied to the surface of an object, usually referred to as the substrate",,Polyimide,https://en.wikipedia.org/wiki/Coating,Material,,,,,,,,,,,,,,,,,,
Coefficient of Linear Thermal Expansion,coefficientOfLinearThermalExpansion,Relative expansion (also called strain) divided by the change in temperature,,6.0 ± 0.75 x 10-6/?C,https://en.wikipedia.org/wiki/Thermal_expansion,,,,,,,,,,,,,,,,,,,
Cold,cold,State of low temperature,"Cold Temperature, Chill, Low Temperature, Coldness",,https://www.wikidata.org/wiki/Q270952,,,,,,,,,,,,,,,,,,,
Collected Volatile Condensable Material,collectedVolatileCondensableMaterial,Mass gain of collectors relative to initial sample mass,CVCM,0.06%,https://www.aac-research.at/en/outgassing/,,,,,,,,,,,,,,,,,,,
Color,color,The color of the product,,Black,https://schema.org/color,,,,,,,,,,,,,,,,,,,
Command,command,Directive to a computer program,,,https://www.wikidata.org/wiki/Q1079196,,,,,,,,,,,,,,,,,,,
Commercial Off-The-Shelf,commercialOffTheShelf,"Products that are packaged solutions which are then adapted to satisfy the needs of the purchasing organization, rather than the commissioning of custom-made, or bespoke, solutions.","COTS, Commercially Available Off-The-Shelf",,https://en.wikipedia.org/wiki/Commercial_off-the-shelf,,,,,,,,,,,,,,,,,,,
Common-Mode Rejection Ratio,commonModeRejectionRatio,Ratio of rejection of common mode signals to differential signals,CMMR,100 dB,https://www.wikidata.org/wiki/Q1244941,Minimum,,,,,,,,,,,,,,,,,,
Communications Satellite,communicationsSatellite,Artificial satellite designed for telecommunications,"Comsat, SATCOM",,https://www.wikidata.org/wiki/Q149918,,,,,,,,,,,,,,,,,,,
Communications Subsystem,communicationsSubsystem,"Subsystem responsible for ensuring telecommunication between the satellite and another system, which may be either another satellite or a ground station",Telecommunications Subsystem,,https://nanostar-project.gitlab.io/main/source/preliminary-design/communications.html,,,,,,,,,,,,,,,,,,,
Compressive Strength,compressiveStrength,"Capacity of a material or structure to withstand loads tending to reduce size, which withstands loads tending to elongate","Compression Strength, Compressive Yield Strength",439 MPa,https://www.wikidata.org/wiki/Q186191,"Vertical, Parallel",,,,,,,,,,,,,,,,,,
Conductor,conductor,Object or material which permits the flow of electricity,Electrical Conductor,SBCC,https://www.wikidata.org/wiki/Q124291,Material,,,,,,,,,,,,,,,,,,
Connector,connector,Electro-mechanical device used to connect electrical parts,"Electrical Connector, Mount",SMA,https://www.wikidata.org/wiki/Q2119531,Type,,,,,,,,,,,,,,,,,,
Constant,constant,Mathematical concept: a value which cannot be changed or does not change during a process,Continuous,,https://www.wikidata.org/wiki/Q188248,,,,,,,,,,,,,,,,,,,
Control Moment Gyroscope,controlMomentGyroscope,An attitude control device generally used in spacecraft attitude control systems. A CMG consists of a spinning rotor and one or more motorized gimbals that tilt the rotor’s angular momentum,CMG,,https://en.wikipedia.org/wiki/Control_moment_gyroscope,,,,,,,,,,,,,,,,,,,
Cooling Capacity,coolingCapacity,Measure of a cooling system's ability to remove heat,,20 W @20 K,https://www.wikidata.org/wiki/Q5167494,,,,,,,,,,,,,,,,,,,
Coordinates,coordinates,The geographic coordinates of a place or event,Geographic Location,"42.382°, -71.128°",https://schema.org/GeoCoordinates,,,,,,,,,,,,,,,,,,,
Cost,cost,Value of money that has been used up to produce something,"Expense, Price",$550,https://www.wikidata.org/wiki/Q240673,,,,,,,,,,,,,,,,,,,
Country,country,Distinct region in geography; a broad term that can include political divisions or regions associated with distinct political characteristics,Nation,Greece,https://www.wikidata.org/wiki/Q6256,,,,,,,,,,,,,,,,,,,
Cracking Pressure,crackingPressure,The minimum pressure differential needed between the inlet and outlet of the valve at which the first indication of flow occurs,"Crack Pressure, Head Pressure, Opening Pressure",109 psig,https://en.wikipedia.org/wiki/Check_valve,,,,,,,,,,,,,,,,,,,
C-rate,cRate,A measure of the rate at which a battery is being charged or discharged. It is defined as the current through the battery divided by the theoretical current draw under which the battery would deliver its nominal rated capacity in one hour,Capacity Rating,0.5C,https://en.wikipedia.org/wiki/Electric_battery,,,,,,,,,,,,,,,,,,,
Cross-Sectional Area,crossSectionalArea,Area determined on a cross section,Cross Sectional Area,0.75 mm2,https://www.wikidata.org/wiki/Q29325024,,,,,,,,,,,,,,,,,,,
Cryocoolers,cryocooler,A refrigerator designed to reach cryogenic temperatures,,,https://en.wikipedia.org/wiki/Cryocooler,,,,,,,,,,,,,,,,,,,
CubeSat,cubeSat,Type of miniaturized satellite for space research that is made up of multiples of 10 cm × 10 cm × 10 cm cubic units,,,https://en.wikipedia.org/wiki/CubeSat,,,,,,,,,,,,,,,,,,,
Cure Time,cureTime,The length of time needed for something to fully cure,,120 mins,https://www.corrosionpedia.com/definition/1884/cure-time,,,,,,,,,,,,,,,,,,,
Current,current,Flow of electric charge,"Electric Current, Electrical Current",95 A,https://www.wikidata.org/wiki/Q11651,"Nominal, Rated, Range, Maximum (Ampacity), Minimum, Carry, Switch, Operating, Input, Output, Collector Current (Continuous)",,,,,,,,,,,,,,,,,,
Current Density,currentDensity,Electric current per area of cross section,"Electric Current Density, Areic Electric Current",8.2 A,https://www.wikidata.org/wiki/Q234072,Maximum (Jmp),,,,,,,,,,,,,,,,,,
Cutoff Frequency,cutoffFrequency,Frequency response boundary,,18 GHz,https://www.wikidata.org/wiki/Q1455881,,,,,,,,,,,,,,,,,,,
Damping Ratio,dampingRatio,Dimensionless measure describing how oscillations in a system decay after a disturbance,,0.7,https://www.wikidata.org/wiki/Q31975,,,,,,,,,,,,,,,,,,,
Observation Data,data,"Quantities, characters, or symbols on which operations are performed by a computer",Computer Data,https://network.satnogs.org/observations/2085379/#tab-data,https://www.wikidata.org/wiki/Q494756,,,,,,,,,,,,,,,,,,,
DC Bias,dcBias,The mean amplitude of the waveform when describing a periodic function in the time domain,"DC Offset, DC Component, DC Coefficient",,https://en.wikipedia.org/wiki/DC_bias,,,,,,,,,,,,,,,,,,,
DC-DC Converters,dcdcConverter,An electronic circuit or electromechanical device that converts a source of direct current (DC) from one voltage level to another,,,https://en.wikipedia.org/wiki/DC-to-DC_converter,,,,,,,,,,,,,,,,,,,
Decay Heat,decayHeat,Heat released as a result of radioactive decay,Heat Output,2400 W,https://www.wikidata.org/wiki/Q1662393,,,,,,,,,,,,,,,,,,,
Decoder,decoder,Device which reverses the operation of an encoder,,,https://www.wikidata.org/wiki/Q745243,,,,,,,,,,,,,,,,,,,
Delta-V,deltaV,Measure of amount of effort to change trajectory,"?v, DeltaV",64 m/s,https://www.wikidata.org/wiki/Q1184955,Maximum/Potential,,,,,,,,,,,,,,,,,,
Demodulator,demodulator,An electronic circuit (or computer program in a software-defined radio) that is used to recover the information content from the modulated carrier wave,,,https://en.wikipedia.org/wiki/Demodulation,,,,,,,,,,,,,,,,,,,
Density,density,Mass per volume,"Volumetric Mass Density, Dord, Mass Density",0.750 gm/ml,https://www.wikidata.org/wiki/Q29539,"Liquid, Solid",,,,,,,,,,,,,,,,,,
Depth,depth,The depth of the item,,10 cm,https://schema.org/depth,,,,,,,,,,,,,,,,,,,
Depth-of-Discharge,depthOfDischarge,Part of the nominal capacity of a electric storage system which is used,DoD,32%,https://www.wikidata.org/wiki/Q4822597,,,,,,,,,,,,,,,,,,,
Description,description,A description of the item,,,https://schema.org/description,,,,,,,,,,,,,,,,,,,
Device,device,Electric device where the main functionality is provided by electronic circuits,"Electric Machine, Electronic Device, Electronic Apparatus, Electronic Gadget",,https://www.wikidata.org/wiki/Q1183543,,,,,,,,,,,,,,,,,,,
Diameter,diameter,The diameter of a circular or spherical object,,"0.32""",https://www.wikidata.org/wiki/Property:P2386,"Inside, Outside",,,,,,,,,,,,,,,,,,
Dielectric,dielectric,"Electrically poorly conducting or non-conducting, non-metallic substance of which charge carriers are generally not free to move",,Air Space Polyethylene (ASP),https://www.wikidata.org/wiki/Q184996,Material,,,,,,,,,,,,,,,,,,
"Dielectric Strength	",dielectricStrength,The maximum electric field that the material can withstand under ideal conditions without undergoing electrical breakdown and becoming electrically conductive (i.e. without failure of its insulating properties),,210 V,https://en.wikipedia.org/wiki/Dielectric_strength,,,,,,,,,,,,,,,,,,,
Discharge Current,dischargeCurrent,The chemical energy in the battery that is used to provide current to a load,,60A,https://www.rcuniverse.com/forum/batteries-chargers-84/8754512-what-discharge-current.html,"Nominal, Maximum (Discharge Current Limit (DCL), Maximum Discharge Rate, Load Current Limit)",,,,,,,,,,,,,,,,,,
Discharge Power,dischargePower,The amount of power that the storage bank can discharge over a specific length of time,,435W,https://www.homerenergy.com/products/pro/docs/latest/how_homer_calculates_the_maximum_battery_discharge_power.html,Maximum,,,,,,,,,,,,,,,,,,
Dissipation Factor,dissipationFactor,Measure of loss-rate of energy of a mode of oscillation in a dissipative system,"DF, Loss Factor",0.005,https://www.wikidata.org/wiki/Q1040795,,,,,,,,,,,,,,,,,,,
Downlink,downlink,"The portion of a feeder link used for the transmission of signals from a space radio station, space radio system or high altitude platform station to an earth station","DL, D/L",437.445 MHz,https://www.wikidata.org/wiki/Q1639936,,,,,,,,,,,,,,,,,,,
Downlink,downlink,The transmission of a signal from a satellite to a receiving station on earth; or the means of this transmission,,615 MHz,https://en.wiktionary.org/wiki/downlink,,,,,,,,,,,,,,,,,,,
Download,download,To receive data to a local system from a remote system,,,https://www.wikidata.org/wiki/Q7126717,,,,,,,,,,,,,,,,,,,
Drift,drift,The act or motion of drifting; the force which impels or drives; an overpowering influence or impulse,,,https://en.wiktionary.org/wiki/drift,,,,,,,,,,,,,,,,,,,
Dropout Voltage,dropoutVoltage,The minimum difference between input voltage and output voltage for which the regulator can still supply the specified current,,2 V,https://en.wikipedia.org/wiki/Dropout_voltage,,,,,,,,,,,,,,,,,,,
Duration,duration,Length of time of an event or process; quality of an event or process with beginning and end,"Length of Time, Time Span, Runtime, Run TIme, Running Time, Time",4 years,https://www.wikidata.org/wiki/Q2199864,,,,,,,,,,,,,,,,,,,
Dynamic Charge Acceptance,dynamicChargeAcceptance,Measurement of the battery / cells ability to absorb electrical charge in relation to the capacity of the battery,DCA,90%,https://www.sheffield.ac.uk/creesa/research/dynamic-charge,,,,,,,,,,,,,,,,,,,
Dynamic Unbalance,dynamicUnbalance,In rotation an unbalance when the mass/inertia axis does not intersect with shaft axis,,100 g-mm2,https://en.wikipedia.org/wiki/Rotating_unbalance,,,,,,,,,,,,,,,,,,,
Earth Observation Satellite,earthObservationSatellite,Non-military satellite specifically designed to observe Earth from orbit,,,https://www.wikidata.org/wiki/Q854845,,,,,,,,,,,,,,,,,,,
Earth Sensor,earthSensor,Device that senses the direction to Earth,"Horizon Sensor, Earth Horizon Sensor (EHS)",,https://en.wikipedia.org/wiki/Attitude_control,,,,,,,,,,,,,,,,,,,
EELV Secondary Payload Adapter,eelvSecondaryPayloadAdapter,Payload adapter ring for launching secondary payloads on orbital launch vehicles,"ESPA, ESPA Ring",,https://en.wikipedia.org/wiki/EELV_Secondary_Payload_Adapter,,,,,,,,,,,,,,,,,,,
Efficiency,efficiency,Dimensionless physical quantity; ratio of output power to input power,Electrical Efficiency,28.30%,https://www.wikidata.org/wiki/Q11945244,"Beginning-Of-Life Efficiency (BOL) and End-Of-Life (EOL), Maximum",,,,,,,,,,,,,,,,,,
Electrical Cables,electricalCable,"Two or more wires running side by side and bonded, twisted, or braided together to form a single assembly",Cable,,https://www.wikidata.org/wiki/Q188447,"Type (e.g., Coaxial Cable)",,,,,,,,,,,,,,,,,,
Electrical Fuses,electricalFuse,"Type of low resistance resistor that acts as a sacrificial device to provide overcurrent protection, of either the load or source circuit",,Solar Fuse,https://www.wikidata.org/wiki/Q182221,Type,,,,,,,,,,,,,,,,,,
Electrical Insulation,electricalInsulation,Absence of electrical conduction,Insulation,0.045 in,https://www.wikidata.org/wiki/Q18059915,"Material, Thickness (e.g., 0.045 in)",,,,,,,,,,,,,,,,,,
