noiseFigure,Measure of degradation of the signal-to-noise ratio,NF,15 dB,,https://books.google.com/books?id=jESPCwAAQBAJ&pg=PA50&lpg=PA50&dq=%22Measure+of+degradation+of+the+signal-to-noise+ratio%22&source=bl&ots=SyLNq5poM6&sig=ACfU3U1UaPN3TtpmqF4riRkqJa8GFcLLig&hl=en&sa=X&ved=2ahUKEwj-upvuw5XoAhXEm-AKHaQUBEYQ6AEwCXoECAkQAQ#v=onepage&q=%22Measure%20of%20degradation%20of%20the%20signal-to-noise%20ratio%22&f=false,"Ground Segment,Space Segment"
operatingTemperatureRange,The range of ambient temperature within which a rotator operates,,5-40 degrees C,,,"Ground Segment,Space Segment"
outputBandwidth,Bandwidth of radio waves after conversion,,,,,"Ground Segment,Space Segment"
outputPower,Electrical power produced by the hardware,,,,,"Ground Segment,Space Segment"
phaseLockedLoops,Control system that generates an output signal whose phase is related to the phase of an input signal,PLL,has 1,,https://en.wikipedia.org/wiki/Phase-locked_loop,"Ground Segment,Space Segment"
phaseNoise,Random fluctuations in the phase of a waveform,Jitter,< 0.3 deg. rms,,,"Ground Segment,Space Segment"
phaseResistance,Resistance value of a single phase of the motor,,3.5 ohm,,,"Ground Segment,Space Segment"
pointingAccuracy,Measurement of the uncertainty of the rotator,,1.6 degrees,,,Ground Segment
pointingAxis,The direction or axis of which the rotator points,,"Fixed, AZ/EL, only AZ, only EL, AZ/EL/XEL",,,Ground Segment
polarization,Direction of the electric field of a radio wave from the antenna,,,,,"Ground Segment,Space Segment"
polarizationLossFactor,Loss of electromagnetic power because of polarization mismatch,PLF; Polarization Efficiency,"0, 1",,,"Ground Segment,Space Segment"
polarizationType,Polarization type,,"Vertical, Horizontal, Right Hand Circular",,,"Ground Segment,Space Segment"
positionalAccuracyMeasurement,The positional difference between two geospatial layers or between a geospatial layer and reality,,,,https://desktop.arcgis.com/en/arcmap/latest/extensions/data-reviewer/what-is-positional-accuracy-assessment.htm,Ground Segment
power,Amount of electrical power (Watts) that can be handled by the hardware,,,,,"Ground Segment,Space Segment"
powerAmplifier,Device that amplifies low-power electrical signals,,,,,"Ground Segment,Space Segment"
preamplifier,Device that makes a weak electrical signal noise-tolerant to increase quality of amplified output,Preamp,,,,"Ground Segment,Space Segment"
qualityFactor,Measure of the radiation efficiency of the antenna,Q,10,,,"Ground Segment,Space Segment"
radiationEfficiency,"Ratio of output power to input power, voltage or current in terms of magnitude; value between 0 and 1",Antenna Efficiency,,,,"Ground Segment,Space Segment"
receiver,Apparatus that receives incoming radio waves and converts them so that they are usable,,,,,"Ground Segment,Space Segment"
reflectionCoefficient,Power reflected from the antenna,,0 dB,,,"Ground Segment,Space Segment"
rotationSpeed,Speed that rotator can move antenna,,,,,Ground Segment
rotator,Piece of hardware that can change the orientation of an antenna,,,,,Ground Segment
rotatorAcceleration,Acceleration that rotator can move at,,,,,Ground Segment
rotatorBrake,Brake on antenna rotator,,,,,Ground Segment
rotatorBrakeType,Type of brake,,Gear reduction,,,Ground Segment
rotatorTorque,Rotation force applied by the rotator,,,,,Ground Segment
sdrBoard,Radio that communicates via software instead of hardware,Software Defined Radio Board,,,,"Ground Segment,Space Segment"
sidelobeLevel,Ratio of the amplitude at the peak of the main lobe to the amplitude at the peak of the side lobe,SLL,-12.5 dB,,https://www.igi-global.com/dictionary/optimization-of-antenna-arrays-and-microwave-filters-using-differential-evolution-algorithms/43483,"Ground Segment,Space Segment"
signalToNoiseRatio,Ratio of signal power to the level of background noise,SNR; S/N,1:01,,,"Ground Segment,Space Segment"
singleBoardComputer,A type of computer that exists on a single circuit board,,,,,"Ground Segment,Space Segment"
software,A set of programs that operate the hardware,,,,,Ground Segment
spuriousEmissionLevel,Level of radio frequency not deliberately transmitted,,< -60 dBc,,,"Ground Segment,Space Segment"
stepAngle,Angle per step,,1.8 degrees,,,Ground Segment
storage,Non-volatile computer memory,ROM,,,https://en.wikipedia.org/wiki/Non-volatile_memory,"Ground Segment,Space Segment"
systemOnAChip,Circuit that integrates all parts of a computer or device,,,,,"Ground Segment,Space Segment"
testingStatus,Boolean field that indicates if a ground station is ready to be used by the network,,TRUE,,,Ground Segment
totalIsotropicSensitivity,"Measure of the average sensitivity of a receiver-antenna system, when averaged over the entire 3-dimensional sphere",TIS,,,http://www.antenna-theory.com/definitions/tis.php,"Ground Segment,Space Segment"
totalRadiatedPower,Sum of all power radiated by an antenna connected to a transmitter,TRP,88 W,,https://www.taoglas.com/wp-content/uploads/pdf/Total-Radiated-Power-ED-16-004.A.pdf,"Ground Segment,Space Segment"
trackingAid,Boolean field to indicate if antenna has system to help it track moving objects,,,Boolean,,Ground Segment
transceiver,Device that contains both a transmitter and a receiver,,,,,"Ground Segment,Space Segment"
transceiverSensitivity,Transceiver sensitivity,,128 dBm,,,"Ground Segment,Space Segment"
transmissionCoefficient,"the amplitude, intensity, or total power of a transmitted wave relative to an incident wave.",,,,https://en.wikipedia.org/wiki/Transmission_coefficient,"Ground Segment,Space Segment"
transmittedPowerOutput,Power output of transmitter as radio frequency energy,TPO,79 W,,,"Ground Segment,Space Segment"
transmitter,Device that transmits radio signals,,,,,"Ground Segment,Space Segment"
turningRange,How far the rotator can move the antenna,,,,,Ground Segment
uplinkEquipment,Equipment to facilitate communication from ground segment to space segment,,,,,"Ground Segment,Space Segment"
verticalLoadRating,Maximum perpendicular force the structure can handle,Vertical Load Capacity,,,,Ground Segment
voltage,Electric potential energy in volts,,,,,"Ground Segment,Space Segment"
voltageRequirement,Power range required,,190-250 VAC,,,"Ground Segment,Space Segment"
voltageStandingWaveRatio,Ratio of the peak amplitude of a standing wave to the minimum amplitude of a standing wave,VSWR,1,,https://books.google.com/books?id=4PBKDwAAQBAJ&pg=PA655&lpg=PA655&dq=%22Ratio+of+the+peak+amplitude+of+a+standing+wave+to+the+minimum+amplitude+of+a+standing+wave%22&source=bl&ots=y6sEq6o42t&sig=ACfU3U3EYrNEZpW06g8nHOJiea0szlxL2A&hl=en&sa=X&ved=2ahUKEwjByZfmvpXoAhWHmuAKHfTZBXkQ6AEwAHoECAoQAQ#v=onepage&q=%22Ratio%20of%20the%20peak%20amplitude%20of%20a%20standing%20wave%20to%20the%20minimum%20amplitude%20of%20a%20standing%20wave%22&f=false,"Ground Segment,Space Segment"
weatherproof,Boolean field to indicate if hardware can withstand outdoor conditions,,,Boolean,,Ground Segment
windLoadRating,Maximum force of wind an antenna/mast can handle,Wind Load Capacity,451 lbs,,,Ground Segment
windSurfaceArea,Sum of all the areas of all the shapes that cover the surface of the antenna,,1 m^2,,,Ground Segment
wirelessConnectivity,Technology used to transfer information wirelessly,,,,https://en.wikipedia.org/wiki/Wireless,"Ground Segment,Space Segment"
workingMemory,Memory that can be read and changed in any order,RAM,,,https://en.wikipedia.org/wiki/Random-access_memory,"Ground Segment,Space Segment"
