Identifier,ACM Classification Code,Australian Educational Vocabulary,BabelNet,Basisklassifikation,BIBFRAME,BNCF Thesaurus,COAR,Cultureel Woordenboek,DBpedia,DCAT,DCMI Metadata Terms,Dictionary of Algorithms and Data Structures,Elhuyar ZTH,Encyclopædia Britannica Online,Encyclopædia Universalis,EuroVoc,File Format Wiki,Freebase,Gran Enciclopèdia Catalana,Great Russian Encyclopedia Online,GS1 Global Product Classification Brick Code,IAO,IUPAC Gold Book,Library of Congress Subject Headings,MathWorld,Microsoft Academic,National Diet Library,NicoNicoPedia,NIST/CODATA,Nomenclature for Museum Cataloging,OmegaWiki Defined Meaning,Princeton WordNet,PRONOM,PSH,QUDT,ROR,Schema.org,SPAR FaBiO,Store Norske Leksikon,Techopedia,Treccani,UNESCO Thesaurus,Unified Astronomy Thesaurus,UNSPSC Code,U.S. National Archives,VIAF,WikiData Item,WikiData Property,WordLift,World of Physics,YSO
amplitudeSpectralDensity,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/01csx9,https://www.enciclopedia.cat/EC-GEC-0174414.xml,,,,,,,https://academic.microsoft.com/v2/detail/168110828,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1331626,,,,
analogSignal,,,,,,,,,,,,,,https://www.britannica.com/technology/analog-signal,,,,https://tools.wmflabs.org/freebase/m/0lh7,,,,,,,,https://academic.microsoft.com/v2/detail/13412647,,,,,,,,https://psh.techlib.cz/skos/PSH9891,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q174948,,,,
analogToDigitalConverter,,,,,,,,,,,,,,https://www.britannica.com/technology/analogue-to-digital-conversion,,,,https://tools.wmflabs.org/freebase/m/0b1x2,,,,,,,,https://academic.microsoft.com/v2/detail/2777271169,,,,,,,,https://psh.techlib.cz/skos/PSH1905,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q190169,,,,
angle,,http://vocabulary.curriculum.edu.au/scot/624.html,https://babelnet.org/synset?word=bn:00004117n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=30974,,https://www.cultureelwoordenboek.nl/wiskunde/hoek,,,,,,https://www.britannica.com/topic/angle-mathematics,,,,https://tools.wmflabs.org/freebase/m/0mwc,,https://bigenc.ru/text/4215205,,,,https://id.loc.gov/authorities/sh85005042,http://mathworld.wolfram.com/Angle.html,,,,,,http://www.omegawiki.org/DefinedMeaning:383175,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q11352,,,,
angleOfAttack,,http://vocabulary.curriculum.edu.au/scot/1169.html,,,,,,,,,,,,https://www.britannica.com/technology/angle-of-attack,,,,https://tools.wmflabs.org/freebase/m/01hrlc,https://www.enciclopedia.cat/EC-GEC-0158760.xml,,,,,https://id.loc.gov/authorities/sh95010977,,https://academic.microsoft.com/v2/detail/527307,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q370906,,,,
angleOfIncidence,,,https://babelnet.org/synset?word=bn:00004125n,,,,,,,,,,,https://www.britannica.com/science/angle-of-incidence,,,,https://tools.wmflabs.org/freebase/m/01ch10,,,,,,,http://mathworld.wolfram.com/AngleofIncidence.html,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1196575,,,,
angleRandomWalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angularAcceleration,,,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=31009,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/095589,https://www.britannica.com/science/angular-acceleration,,,,https://tools.wmflabs.org/freebase/m/0hgl0,https://www.enciclopedia.cat/EC-GEC-0155135.xml,https://bigenc.ru/text/4215166,,,,,,https://academic.microsoft.com/v2/detail/190704821,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q186300,,,,
angularDistance,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/09x45y,,,,,https://dx.doi.org/10.1351/goldbook.A00346,,http://mathworld.wolfram.com/AngularDistance.html,https://academic.microsoft.com/v2/detail/1707232,,,,,,,,,,,,,,,,,http://astrothesaurus.org/uat/40,,,,https://www.wikidata.org/wiki/Q1357788,https://www.wikidata.org/wiki/Property:P2212,,,
angularFrequency,,,,,,,,,,,,,,https://www.britannica.com/science/angular-frequency,,,,https://tools.wmflabs.org/freebase/m/01ccq1,,,,,https://dx.doi.org/10.1351/goldbook.A00352,,,https://academic.microsoft.com/v2/detail/51453986,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q834020,,,,
angularMomentum,,http://vocabulary.curriculum.edu.au/scot/1197.html,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=13013,,,,,,,,https://www.britannica.com/science/angular-momentum,https://www.universalis.fr/encyclopedie/spin/,,,https://tools.wmflabs.org/freebase/m/011mb,https://www.enciclopedia.cat/EC-GEC-0234967.xml,,,,,,,https://academic.microsoft.com/v2/detail/155675718,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q161254,,,,
angularRateSensor,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2779282603,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1256601,,,,
angularVelocity,,,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=31010,,,,,,,,https://www.britannica.com/science/angular-velocity,,,,https://tools.wmflabs.org/freebase/m/0hgk1,https://www.enciclopedia.cat/EC-GEC-0217021.xml,https://bigenc.ru/text/4215152,,,,,https://mathworld.wolfram.com/AngularVelocity.html,https://academic.microsoft.com/v2/detail/5594486,,,,,,,,,,,,,https://snl.no/vinkelhastighet,,,,,,,,https://www.wikidata.org/wiki/Q161635,,,,
anode,,http://vocabulary.curriculum.edu.au/scot/1344.html,https://babelnet.org/synset?word=bn:00004388n,,,,,,,,,,,https://www.britannica.com/technology/anode,,,,https://tools.wmflabs.org/freebase/m/0z2f,,https://bigenc.ru/text/695157,,,https://dx.doi.org/10.1351/goldbook.A00370,https://id.loc.gov/authorities/sh85005376,,https://academic.microsoft.com/v2/detail/89395315,,,,,http://www.omegawiki.org/DefinedMeaning:717429,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q181232,,,,
antenna,,,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=1671,,,,,,,,https://www.britannica.com/technology/antenna-electronics,https://www.universalis.fr/encyclopedie/antennes-technologie/,,,https://tools.wmflabs.org/freebase/m/019mbd,https://www.enciclopedia.cat/EC-GEC-0220113.xml,,,,,https://id.loc.gov/authorities/sh85005511,,https://academic.microsoft.com/v2/detail/21822782,https://id.ndl.go.jp/auth/ndlna/00560275,,,,http://www.omegawiki.org/DefinedMeaning:760630,,,https://psh.techlib.cz/skos/PSH9825,,,,,,https://www.techopedia.com/definition/5041,http://www.treccani.it/enciclopedia/antenna,http://vocabularies.unesco.org/thesaurus/concept2488,,,https://catalog.archives.gov/id/10666041,,https://www.wikidata.org/wiki/Q131214,,,,
antennaAperture,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/137705275,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q571946,,,,
antennaArray,,,,,,,,,,,,,,https://www.britannica.com/technology/antenna-array,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/62191587,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4771249,,,,
antennaBoresight,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2777105084,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4771250,,,,
antennaEfficiency,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/160844929,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q55604036,,,,
antennaEquivalentRadius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4771252,,,,
antennaFactor,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/196931383,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4771253,,,,
antennaGainToNoiseTemperature,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2778583620,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16975098,,,,
antennaNoiseTemperature,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0bchv,,,,,,,,https://academic.microsoft.com/v2/detail/72816602,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1440723,,,http://scienceworld.wolfram.com/physics/NoiseTemperature.html,
antennaRotator,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/107328001,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4771262,,,,
antennaTuner,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/02s8l_,,,,,,,,https://academic.microsoft.com/v2/detail/119439620,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q568420,,,,
antiReflectiveCoating,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/108406538,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q583040,,,,
apoapsis,,,,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/135812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://astrothesaurus.org/uat/56,,,,https://www.wikidata.org/wiki/Q2858363,https://www.wikidata.org/wiki/Property:P2243,,,
apogee,,,,,,,,,,,,,,,,,,,https://www.enciclopedia.cat/EC-GEC-0079671.xml,,,,,,,,,,,,http://www.omegawiki.org/DefinedMeaning:664688,,,,,,,,https://snl.no/apogeum_-_astronomi,,,,http://astrothesaurus.org/uat/57,,,,https://www.wikidata.org/wiki/Q1179441,,,,
applicationSpecificIntegratedCircuit,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/012y9t,https://www.enciclopedia.cat/EC-GEC-0262175.xml,,,,,,,https://academic.microsoft.com/v2/detail/77390884,,,,,,,,,,,,,,https://www.techopedia.com/definition/2357,,,,https://www.unspsc.org/search-code/?CSS=32101609,,,https://www.wikidata.org/wiki/Q217302,,,,
arcResistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archiveFileFormat,,,https://babelnet.org/synset?word=bn:01645625n,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/03x_f6d,,,,,,,,https://academic.microsoft.com/v2/detail/2778317086,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1351368,,,,
area,,http://vocabulary.curriculum.edu.au/scot/1601.html,https://babelnet.org/synset?word=bn:00005513n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=39330,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0n0j,,,,,,,http://mathworld.wolfram.com/Area.html,,,,,,,,,,,,,,https://snl.no/areal,,,,,,,,https://www.wikidata.org/wiki/Q11500,https://www.wikidata.org/wiki/Property:P2046,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q38137336,,,,
argumentOfLatitude,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2777420219,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4789754,,,,
argumentOfPeriapsis,,,https://babelnet.org/synset?word=bn:03874050n,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/03vx05,,,,,,,,https://academic.microsoft.com/v2/detail/207718836,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q2269302,https://www.wikidata.org/wiki/Property:P2248,,,
arrayGain,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/136664719,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4795880,,,,
astronomicalObservatory,,,,,,,,,,,,,,https://www.britannica.com/science/astronomical-observatory,https://www.universalis.fr/encyclopedie/observation-astronomique/,,,,,,,,,,,,https://id.ndl.go.jp/auth/ndlna/00572839,,,,,,,https://psh.techlib.cz/skos/PSH562,,,,,,,,http://vocabularies.unesco.org/thesaurus/concept3221,,,https://catalog.archives.gov/id/10663880,,https://www.wikidata.org/wiki/Q1254933,,,,
airDensity,,http://vocabulary.curriculum.edu.au/scot/892.html,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/02jm7j,,,,,,,,https://academic.microsoft.com/v2/detail/111538826,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1511415,,,,
attenuation,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0b4rw,,,,,,https://id.loc.gov/authorities/sh2003007020,,https://academic.microsoft.com/v2/detail/184652730,,,,,http://www.omegawiki.org/DefinedMeaning:920811,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q2357982,,,,
attenuationCoefficient,,,,,,,,,,,,,,https://www.britannica.com/science/absorption-coefficient,,,,https://tools.wmflabs.org/freebase/m/02v_h11,,,,,https://dx.doi.org/10.1351/goldbook.A00516,,,https://academic.microsoft.com/v2/detail/159774933,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q902086,https://www.wikidata.org/wiki/Property:P5992,,,
attenuationDistortion,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/47157199,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4818244,,,,
attenuator,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0br8_n,https://www.enciclopedia.cat/EC-GEC-0081655.xml,,,,,,,https://academic.microsoft.com/v2/detail/174847166,,,,,,,,,,,,,,,,,,https://www.unspsc.org/search-code/?CSS=32101515,,,https://www.wikidata.org/wiki/Q1269728,,,,
attitudeControl,,,https://babelnet.org/synset?word=bn:13998992n,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/155710575,https://id.ndl.go.jp/auth/ndlna/00575354,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q83001,,,,
audio,,,,,,,,,,,http://purl.org/dc/dcmitype/Sound,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.org/audio,,,,,,,,,,https://www.wikidata.org/wiki/Q26987250,,,,
audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2910183084,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q758901,,,,
autocollimator,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0d03gr,,,,,,,,https://academic.microsoft.com/v2/detail/151818239,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q728084,,,,
automaticGainControl,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/01h_zw,,,,,,,,https://academic.microsoft.com/v2/detail/177502760,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q782524,,,,
availability,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0b4zy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q384871,,,,
average,,,,,,,,,,,,,,https://www.britannica.com/topic/mean,,,,https://tools.wmflabs.org/freebase/m/04vp4,,,,,,,http://mathworld.wolfram.com/Mean.html,,,,,,,,,,,,,,https://snl.no/gjennomsnitt,,,,,,,,https://www.wikidata.org/wiki/Q2796622,,,,
axial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axialRatio,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2779763010,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16836202,,,,
axialTilt,,http://vocabulary.curriculum.edu.au/scot/1886.html,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/81462258,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q179745,,,,
axis,,http://vocabulary.curriculum.edu.au/scot/2088.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1783819,,,,
azimuth,,,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=31770,,,,,,,,https://www.britannica.com/science/altitude-angular,,,,https://tools.wmflabs.org/freebase/m/0cs1n,https://www.enciclopedia.cat/EC-GEC-0222864.xml,https://bigenc.ru/text/1803662,,,,,,https://academic.microsoft.com/v2/detail/159737794,,,,,http://www.omegawiki.org/DefinedMeaning:920833,,,https://psh.techlib.cz/skos/PSH338,,,,,,,,,http://astrothesaurus.org/uat/124,,https://catalog.archives.gov/id/10636870,,https://www.wikidata.org/wiki/Q124274,,,,
bConstant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancedLine,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/68348273,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q2708162,,,,
ballisticCoefficient,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/06vhbk,,,,,,,,https://academic.microsoft.com/v2/detail/81473365,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q2221081,,,,
balun,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/01r9p8,,,,,,,,https://academic.microsoft.com/v2/detail/114489654,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q805838,,,,
bandRejection,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2780209434,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4854279,,,,
